Lens,Capacity,Wording,Study,Year,Country,Robot Type,Age group,Population,Age,N,% Endorsing,% Ambivalent or Pretending,% Rejecting,Notes
1) living creature (bodily),fear,"""Can __ feel scared?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,adults,MTurk,18-65 years,100,3%,4%,93%,
1) living creature (bodily),fear,"""How capable is __ of experiencing fear?""","Weisman, Dweck, & Markman (2016), Study 2",2016,US,humanoid,adults,MTurk,20-70 years,204,2%,9%,89%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
1) living creature (bodily),fear,"""How capable is __ of experiencing fear?""","Weisman, Dweck, & Markman (2016), Study 3",2016,US,humanoid,adults,MTurk,20-68 years,200,2%,12%,86%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
1) living creature (bodily),fear,"""How capable is __ of experiencing fear?""","Weisman, Dweck, & Markman (2016), Study 1",2016,US,humanoid,adults,MTurk,20-75 years,205,1%,7%,92%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
1) living creature (bodily),free will,"""How capable is __ of having free will?""","Weisman, Dweck, & Markman (2016), Study 1",2016,US,humanoid,adults,MTurk,20-75 years,205,4%,9%,87%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
1) living creature (bodily),free will,"""How capable is __ of having free will?""","Weisman, Dweck, & Markman (2016), Study 3",2016,US,humanoid,adults,MTurk,20-68 years,200,3%,14%,83%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
1) living creature (bodily),free will,"""How capable is __ of having free will?""","Weisman, Dweck, & Markman (2016), Study 2",2016,US,humanoid,adults,MTurk,20-70 years,204,2%,11%,86%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
1) living creature (bodily),hunger,"""How capable is __ of getting hungry?""","Weisman, Dweck, & Markman (2016), Study 1",2016,US,humanoid,adults,MTurk,20-75 years,205,2%,3%,95%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
1) living creature (bodily),hunger,"""How capable is __ of getting hungry?""","Weisman, Dweck, & Markman (2016), Study 2",2016,US,humanoid,adults,MTurk,20-70 years,204,2%,4%,93%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
1) living creature (bodily),hunger,"""How capable is __ of getting hungry?""","Weisman, Dweck, & Markman (2016), Study 3",2016,US,humanoid,adults,MTurk,20-68 years,200,2%,7%,90%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
1) living creature (bodily),hunger,"""Can __ get hungry?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,adults,MTurk,18-65 years,99,2%,1%,97%,
1) living creature (bodily),intentions,"""How capable is __ of having intentions?""","Weisman, Dweck, & Markman (2016), Study 3",2016,US,humanoid,adults,MTurk,20-68 years,200,13%,24%,62%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
1) living creature (bodily),intentions,"""How capable is __ of having intentions?""","Weisman, Dweck, & Markman (2016), Study 1",2016,US,humanoid,adults,MTurk,20-75 years,205,10%,25%,65%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
1) living creature (bodily),intentions,"""How capable is __ of having intentions?""","Weisman, Dweck, & Markman (2016), Study 2",2016,US,humanoid,adults,MTurk,20-70 years,204,8%,27%,64%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
1) living creature (bodily),nausea,"""How capable is __ of feeling nauseated?""","Weisman, Dweck, & Markman (2016), Study 1",2016,US,humanoid,adults,MTurk,20-75 years,205,1%,2%,97%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
1) living creature (bodily),nausea,"""How capable is __ of feeling nauseated?""","Weisman, Dweck, & Markman (2016), Study 3",2016,US,humanoid,adults,MTurk,20-68 years,200,1%,6%,93%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
1) living creature (bodily),nausea,"""Can __ feel sick, like when you feel like you might throw up?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,adults,MTurk,18-65 years,101,1%,1%,98%,
1) living creature (bodily),nausea,"""How capable is __ of feeling nauseated?""","Weisman, Dweck, & Markman (2016), Study 2",2016,US,humanoid,adults,MTurk,20-70 years,204,0%,6%,94%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
1) living creature (bodily),pain,"""__ feels pain if he is injured or damaged in some way.""","Huebner (2009), Study 1",2009,US,humanoid,adults,undergraduates,undergraduates,25,20%,24%,56%,
1) living creature (bodily),pain,"""How capable is __ of experiencing pain?""","Weisman, Dweck, & Markman (2016), Study 1",2016,US,humanoid,adults,MTurk,20-75 years,205,2%,5%,93%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
1) living creature (bodily),pain,"""How capable is __ of experiencing pain?""","Weisman, Dweck, & Markman (2016), Study 2",2016,US,humanoid,adults,MTurk,20-70 years,204,2%,7%,91%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
1) living creature (bodily),pain,"""Can __ feel pain?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,adults,MTurk,18-65 years,100,2%,4%,94%,
1) living creature (bodily),pain,"""How capable is __ of experiencing pain?""","Weisman, Dweck, & Markman (2016), Study 3",2016,US,humanoid,adults,MTurk,20-68 years,200,1%,8%,91%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
1) living creature (bodily),pleasure,"""Can __ feel pleasure, like when something feels really good?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,adults,MTurk,18-65 years,101,3%,2%,95%,
1) living creature (bodily),pleasure,"""How capable is __ of experiencing pleasure?""","Weisman, Dweck, & Markman (2016), Study 1",2016,US,humanoid,adults,MTurk,20-75 years,205,2%,8%,90%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
1) living creature (bodily),pleasure,"""How capable is __ of experiencing pleasure?""","Weisman, Dweck, & Markman (2016), Study 3",2016,US,humanoid,adults,MTurk,20-68 years,200,2%,10%,88%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
1) living creature (bodily),pleasure,"""How capable is __ of experiencing pleasure?""","Weisman, Dweck, & Markman (2016), Study 2",2016,US,humanoid,adults,MTurk,20-70 years,204,0%,13%,87%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
1) living creature (bodily),safety,"""How capable is __ of feeling safe?""","Weisman, Dweck, & Markman (2016), Study 3",2016,US,humanoid,adults,MTurk,20-68 years,200,6%,12%,82%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
1) living creature (bodily),safety,"""How capable is __ of feeling safe?""","Weisman, Dweck, & Markman (2016), Study 2",2016,US,humanoid,adults,MTurk,20-70 years,204,5%,11%,84%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
1) living creature (bodily),safety,"""How capable is __ of feeling safe?""","Weisman, Dweck, & Markman (2016), Study 1",2016,US,humanoid,adults,MTurk,20-75 years,205,3%,10%,86%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
1) living creature (bodily),safety,"""Can __ feel safe?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,adults,MTurk,18-65 years,100,3%,15%,82%,
1) living creature (bodily),self-awareness,"""How capable is __ of being self-aware?""","Weisman, Dweck, & Markman (2016), Study 3",2016,US,humanoid,adults,MTurk,20-68 years,200,7%,18%,74%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
1) living creature (bodily),self-awareness,"""How capable is __ of being self-aware?""","Weisman, Dweck, & Markman (2016), Study 1",2016,US,humanoid,adults,MTurk,20-75 years,205,3%,17%,80%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
1) living creature (bodily),smell,"""Did __ smell banana?""","Sytsma & Machery (2010), Study 2",2010,-,non-humanoid,adults,"online, non-philosophers",18-75 years,35,39%,57%,29%,"derived from 7-point scale (1 to 7): >5: yes, <3: no, otherwise ambiv"
1) living creature (bodily),smell,"""How capable is __ of detecting odors?""","Weisman, Dweck, & Markman (2016), Study 3",2016,US,humanoid,adults,MTurk,20-68 years,200,30%,28%,42%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
1) living creature (bodily),smell,"""How capable is __ of detecting odors?""","Weisman, Dweck, & Markman (2016), Study 1",2016,US,humanoid,adults,MTurk,20-75 years,205,27%,36%,37%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
1) living creature (bodily),smell,"""How capable is __ of detecting odors?""","Weisman, Dweck, & Markman (2016), Study 2",2016,US,humanoid,adults,MTurk,20-70 years,204,27%,41%,32%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
1) living creature (bodily),smell,"""Can __ smell things?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,adults,MTurk,18-65 years,100,19%,17%,64%,
1) living creature (bodily),consciousness,"""Can __ be aware of things?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,children,museum visitors,7-9 years,94,53%,24%,22%,
1) living creature (bodily),desire,"""Does __ want to do things?""","Mikropoulos, Milsailidi, & Bonoti (2003)",2003,Greece,humanoid,children,school children,3 years,13,92%,8%,0%,
1) living creature (bodily),desire,"""Does __ want to do things?""","Mikropoulos, Milsailidi, & Bonoti (2003)",2003,Greece,humanoid,children,school children,4 years,25,80%,0%,20%,
1) living creature (bodily),desire,"""Does __ want to do things?""","Mikropoulos, Milsailidi, & Bonoti (2003)",2003,Greece,humanoid,children,school children,5 years,16,56%,0%,44%,
1) living creature (bodily),desire,"""Is it silly or ok to say __ has desires (or goals)?""",Nigam & Klahr (2000),2000,US,-,children,school children,5-10 years,28,37%,-,-,
1) living creature (bodily),desire,"""Can __ have desires, like when you really want something?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,children,museum visitors,7-9 years,95,33%,15%,53%,
1) living creature (bodily),fatigue,"""Can __ feel tired?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,children,museum visitors,7-9 years,94,38%,21%,40%,
1) living creature (bodily),fear,"""Can __ feel scared?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,children,museum visitors,7-9 years,96,29%,19%,52%,
1) living creature (bodily),hunger,"""Do you think __ get[s] hungry?""",Okita & Schwartz (2006),2006,US,dog,children,university daycare,3 years,10,87%,-,-,
1) living creature (bodily),hunger,"""Do you think __ get[s] hungry?""",Okita & Schwartz (2006),2006,US,dog,children,university daycare,5 years,11,76%,-,-,
1) living creature (bodily),hunger,"""Do you think __ get[s] hungry?""",Okita & Schwartz (2006),2006,US,dog,children,university daycare,4 years,11,55%,-,-,
1) living creature (bodily),hunger,"""Can __ get hungry?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,children,museum visitors,7-9 years,94,16%,5%,79%,
1) living creature (bodily),nausea,"""Can __ feel sick, like when you feel like you might throw up?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,children,museum visitors,7-9 years,94,6%,10%,84%,
1) living creature (bodily),pain,"""If we prick __ with a needle, will it feel it?""","Mikropoulos, Milsailidi, & Bonoti (2003)",2003,Greece,humanoid,children,school children,3 years,13,92%,0%,8%,
1) living creature (bodily),pain,"""If __ fell on the ground, could __ get hurt?""",Chernyak & Gary (2016),2016,US,dog (autonomous),children,summer camp attendees,"5 years, 7 years",41,90%,-,-,
1) living creature (bodily),pain,"""If __ fell on the ground, could __ get hurt?""",Chernyak & Gary (2016),2016,US,dog (remote-controlled),children,summer camp attendees,"5 years, 7 years",39,80%,-,-,
1) living creature (bodily),pain,"""Do you think __ feels pain?""","Kahn, Friedman, Prez-Granados, & Freier (2006)",2006,US,dog,children,"university prechool, community",5 years,20,60%,-,-,
1) living creature (bodily),pain,"""If we prick __ with a needle, will it feel it?""","Mikropoulos, Milsailidi, & Bonoti (2003)",2003,Greece,humanoid,children,school children,4 years,25,52%,0%,48%,
1) living creature (bodily),pain,"""Do you think __ feels pain?""","Kahn, Friedman, Prez-Granados, & Freier (2006)",2006,US,dog,children,"university prechool, community",3 years,20,32%,-,-,
1) living creature (bodily),pain,"""If we prick __ with a needle, will it feel it?""","Mikropoulos, Milsailidi, & Bonoti (2003)",2003,Greece,humanoid,children,school children,5 years,16,31%,0%,69%,
1) living creature (bodily),pain,"""Can __ feel pain?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,children,museum visitors,7-9 years,94,18%,13%,69%,
1) living creature (bodily),pleasure,"""Can __ feel pleasure, like when something feels really good?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,children,museum visitors,7-9 years,95,41%,24%,35%,
1) living creature (bodily),self-awareness,"""Can __ be aware of itself?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,children,museum visitors,7-9 years,94,52%,22%,26%,
1) living creature (bodily),smell,"""Can __ smell things?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,children,museum visitors,7-9 years,95,11%,21%,68%,
1) living creature (bodily),tickle,"""If you tickle __, can __ feel it?""",Chernyak & Gary (2016),2016,US,dog (autonomous),children,summer camp attendees,"5 years, 7 years",41,68%,-,-,
1) living creature (bodily),tickle,"""If you tickle __, can __ feel it?""",Chernyak & Gary (2016),2016,US,dog (remote-controlled),children,summer camp attendees,"5 years, 7 years",39,62%,-,-,
2) goal-directed agent (perceptual-cognitive),belief/knowledge,"""__ believes that triangles have three sides.""","Huebner (2009), Study 2",2009,US,humanoid,adults,undergraduates,undergraduates,28,75%,7%,18%,
2) goal-directed agent (perceptual-cognitive),belief/knowledge,"""__ believes that 2+2=4.""","Huebner (2009), Study 1",2009,US,humanoid,adults,undergraduates,undergraduates,25,64%,0%,36%,
2) goal-directed agent (perceptual-cognitive),choice,"""Can __ make choices?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,adults,MTurk,18-65 years,101,62%,18%,20%,
2) goal-directed agent (perceptual-cognitive),choice,"""Can __ decide what to do?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,adults,MTurk,18-65 years,102,59%,21%,21%,
2) goal-directed agent (perceptual-cognitive),choice,"""How capable is __ of making choices?""","Weisman, Dweck, & Markman (2016), Study 3",2016,US,humanoid,adults,MTurk,20-68 years,200,40%,33%,26%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
2) goal-directed agent (perceptual-cognitive),choice,"""How capable is __ of making choices?""","Weisman, Dweck, & Markman (2016), Study 1",2016,US,humanoid,adults,MTurk,20-75 years,205,35%,38%,27%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
2) goal-directed agent (perceptual-cognitive),choice,"""How capable is __ of making choices?""","Weisman, Dweck, & Markman (2016), Study 2",2016,US,humanoid,adults,MTurk,20-70 years,204,26%,43%,31%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
2) goal-directed agent (perceptual-cognitive),communication,"""Can __ communicate with somebody else?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,adults,MTurk,18-65 years,101,77%,18%,5%,
2) goal-directed agent (perceptual-cognitive),communication,"""How capable is __ of communicating with others?""","Weisman, Dweck, & Markman (2016), Study 3",2016,US,humanoid,adults,MTurk,20-68 years,200,55%,31%,14%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
2) goal-directed agent (perceptual-cognitive),communication,"""How capable is __ of communicating with others?""","Weisman, Dweck, & Markman (2016), Study 1",2016,US,humanoid,adults,MTurk,20-75 years,205,53%,35%,13%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
2) goal-directed agent (perceptual-cognitive),communication,"""How capable is __ of communicating with others?""","Weisman, Dweck, & Markman (2016), Study 2",2016,US,humanoid,adults,MTurk,20-70 years,204,45%,41%,14%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
2) goal-directed agent (perceptual-cognitive),depth perception,"""Can __ sense whether something is close by or far away?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,adults,MTurk,18-65 years,102,84%,7%,9%,
2) goal-directed agent (perceptual-cognitive),depth perception,"""How capable is __ of perceiving depth?""","Weisman, Dweck, & Markman (2016), Study 1",2016,US,humanoid,adults,MTurk,20-75 years,205,43%,30%,27%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
2) goal-directed agent (perceptual-cognitive),depth perception,"""How capable is __ of perceiving depth?""","Weisman, Dweck, & Markman (2016), Study 3",2016,US,humanoid,adults,MTurk,20-68 years,200,39%,38%,22%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
2) goal-directed agent (perceptual-cognitive),depth perception,"""How capable is __ of perceiving depth?""","Weisman, Dweck, & Markman (2016), Study 2",2016,US,humanoid,adults,MTurk,20-70 years,204,37%,34%,29%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
2) goal-directed agent (perceptual-cognitive),goals,"""How capable is __ of working toward a goal?""","Weisman, Dweck, & Markman (2016), Study 3",2016,US,humanoid,adults,MTurk,20-68 years,200,46%,30%,24%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
2) goal-directed agent (perceptual-cognitive),goals,"""How capable is __ of working toward a goal?""","Weisman, Dweck, & Markman (2016), Study 1",2016,US,humanoid,adults,MTurk,20-75 years,205,45%,29%,26%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
2) goal-directed agent (perceptual-cognitive),goals,"""How capable is __ of working toward a goal?""","Weisman, Dweck, & Markman (2016), Study 2",2016,US,humanoid,adults,MTurk,20-70 years,204,38%,37%,25%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
2) goal-directed agent (perceptual-cognitive),goals,"""Can __ have goals, like when you're trying hard to do something or make something happen?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,adults,MTurk,18-65 years,101,22%,26%,52%,
2) goal-directed agent (perceptual-cognitive),hearing,"""Can __ hear sounds?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,adults,MTurk,18-65 years,100,76%,14%,10%,
2) goal-directed agent (perceptual-cognitive),hearing,"""How capable is __ of detecting sounds?""","Weisman, Dweck, & Markman (2016), Study 2",2016,US,humanoid,adults,MTurk,20-70 years,204,70%,22%,8%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
2) goal-directed agent (perceptual-cognitive),hearing,"""How capable is __ of detecting sounds?""","Weisman, Dweck, & Markman (2016), Study 1",2016,US,humanoid,adults,MTurk,20-75 years,205,68%,26%,6%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
2) goal-directed agent (perceptual-cognitive),hearing,"""How capable is __ of detecting sounds?""","Weisman, Dweck, & Markman (2016), Study 3",2016,US,humanoid,adults,MTurk,20-68 years,200,66%,24%,10%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
2) goal-directed agent (perceptual-cognitive),humor,"""Can __ have a sense of humor?""","Kahn, Kanda, Ishiguro, Gill, Ruckert, Shen, Gary, Reichert, Freier, & Severson (2012)",2012,US,humanoid,adults,undergraduates,-,40,50%,-,-,
2) goal-directed agent (perceptual-cognitive),math,"""Can __ do math?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,adults,MTurk,18-65 years,100,91%,2%,7%,
2) goal-directed agent (perceptual-cognitive),math,"""How capable is __ of doing computations?""","Weisman, Dweck, & Markman (2016), Study 1",2016,US,humanoid,adults,MTurk,20-75 years,205,85%,8%,7%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
2) goal-directed agent (perceptual-cognitive),math,"""How capable is __ of doing computations?""","Weisman, Dweck, & Markman (2016), Study 3",2016,US,humanoid,adults,MTurk,20-68 years,200,85%,8%,7%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
2) goal-directed agent (perceptual-cognitive),math,"""How capable is __ of doing computations?""","Weisman, Dweck, & Markman (2016), Study 2",2016,US,humanoid,adults,MTurk,20-70 years,204,75%,17%,7%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
2) goal-directed agent (perceptual-cognitive),memory,"""Can __ remember things?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,adults,MTurk,18-65 years,101,80%,8%,12%,
2) goal-directed agent (perceptual-cognitive),memory,"""How capable is __ of remembering things?""","Weisman, Dweck, & Markman (2016), Study 1",2016,US,humanoid,adults,MTurk,20-75 years,205,61%,25%,14%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
2) goal-directed agent (perceptual-cognitive),memory,"""How capable is __ of remembering things?""","Weisman, Dweck, & Markman (2016), Study 3",2016,US,humanoid,adults,MTurk,20-68 years,200,56%,27%,17%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
2) goal-directed agent (perceptual-cognitive),memory,"""How capable is __ of remembering things?""","Weisman, Dweck, & Markman (2016), Study 2",2016,US,humanoid,adults,MTurk,20-70 years,204,55%,25%,21%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
2) goal-directed agent (perceptual-cognitive),person recognition,"""Can __ recognize somebody else?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,adults,MTurk,18-65 years,101,81%,15%,4%,
2) goal-directed agent (perceptual-cognitive),person recognition,"""How capable is __ of recognizing someone?""","Weisman, Dweck, & Markman (2016), Study 2",2016,US,humanoid,adults,MTurk,20-70 years,204,46%,35%,20%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
2) goal-directed agent (perceptual-cognitive),person recognition,"""How capable is __ of recognizing someone?""","Weisman, Dweck, & Markman (2016), Study 3",2016,US,humanoid,adults,MTurk,20-68 years,200,46%,36%,18%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
2) goal-directed agent (perceptual-cognitive),person recognition,"""How capable is __ of recognizing someone?""","Weisman, Dweck, & Markman (2016), Study 1",2016,US,humanoid,adults,MTurk,20-75 years,205,42%,40%,18%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
2) goal-directed agent (perceptual-cognitive),planning,"""Can __ make plans?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,adults,MTurk,18-65 years,101,45%,25%,31%,
2) goal-directed agent (perceptual-cognitive),reasoning,"""Can __ figure out how to do things?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,adults,MTurk,18-65 years,101,73%,16%,11%,
2) goal-directed agent (perceptual-cognitive),reasoning,"""How capable is __ of reasoning about things?""","Weisman, Dweck, & Markman (2016), Study 3",2016,US,humanoid,adults,MTurk,20-68 years,200,26%,38%,37%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
2) goal-directed agent (perceptual-cognitive),reasoning,"""How capable is __ of reasoning about things?""","Weisman, Dweck, & Markman (2016), Study 1",2016,US,humanoid,adults,MTurk,20-75 years,205,20%,34%,46%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
2) goal-directed agent (perceptual-cognitive),reasoning,"""How capable is __ of reasoning about things?""","Weisman, Dweck, & Markman (2016), Study 2",2016,US,humanoid,adults,MTurk,20-70 years,204,18%,36%,46%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
